Stock ID,Serial Number,Factory,Picture,Comment,Mac address,Type,Atex Environment,Sensor data Status
WMBE0119096_Cargill US Guntersville AL 1CIE_4ea040f7,WMBE0119096,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119096_Cargill US Guntersville_15407029330190993282.Picture.182828.jpg,,E12602D3C1FA,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119085_Cargill US Guntersville AL 1CIE_23bc595a,WMBE0119085,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119085_Cargill US Guntersville_15458325111534608077.Picture.182900.jpg,,E12602D3BB3B,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119069_Cargill US Guntersville AL 1CIE_e9c97f64,WMBE0119069,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119069_Cargill US Guntersville_7610616616914807150.Picture.182920.jpg,,E12602D3AF7D,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119076_Cargill US Guntersville AL 1CIE_ac039e03,WMBE0119076,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119076_Cargill US Guntersville_3777117055237874525.Picture.182954.jpg,,E12602D3B7F8,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119079_Cargill US Guntersville AL 1CIE_95e662c4,WMBE0119079,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119079_Cargill US Guntersville_9931839991325136522.Picture.183043.jpg,,E12602D3B8A6,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119092_Cargill US Guntersville AL 1CIE_72c5b09a,WMBE0119092,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119092_Cargill US Guntersville_14448319248609392456.Picture.183107.jpg,,E12602D3BDFD,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119095_Cargill US Guntersville AL 1CIE_991b760c,WMBE0119095,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119095_Cargill US Guntersville_14098400943109256331.Picture.183146.jpg,,E12602D3B7F9,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119091_Cargill US Guntersville AL 1CIE_32cc09a0,WMBE0119091,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119091_Cargill US Guntersville_759743636424058131.Picture.183207.jpg,,E12602D3B376,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119093_Cargill US Guntersville AL 1CIE_58f1d2f0,WMBE0119093,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119093_Cargill US Guntersville_17922780571311566422.Picture.183230.jpg,,E12602D3C50A,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119099_Cargill US Guntersville AL 1CIE_30668651,WMBE0119099,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119099_Cargill US Guntersville_619520553268205451.Picture.183403.jpg,,E12602D3C2CD,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119090_Cargill US Guntersville AL 1CIE_89c65383,WMBE0119090,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119090_Cargill US Guntersville_7454105739136646540.Picture.183427.jpg,,E12602D3BE6F,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119094_Cargill US Guntersville AL 1CIE_a7da1c3e,WMBE0119094,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119094_Cargill US Guntersville_12630653080106822838.Picture.183449.jpg,,E12602D3BA97,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119083_Cargill US Guntersville AL 1CIE_d1335fc7,WMBE0119083,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119083_Cargill US Guntersville_12023063430252432027.Picture.183508.jpg,,E12602D3B852,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119665__0e1a4ad4,WMBE0119665,Cargill US Guntersville AL 1CIE,//Stock files/WMBE0119665__0e1a4ad4.Picture.183546.jpg,,,,Atex,
WMBE0119673_Cargill US Guntersville AL 1CIE_9dc6ee68,WMBE0119673,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119673_Cargill US Guntersville_3318171843901084900.Picture.183614.jpg,,E12602F25527,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119669_Cargill US Guntersville AL 1CIE_f961c279,WMBE0119669,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119669_Cargill US Guntersville_2636226206721814620.Picture.183634.jpg,,E12602BA1737,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119667_Cargill US Guntersville AL 1CIE_95c30dc7,WMBE0119667,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119667_Cargill US Guntersville_11660578169577719013.Picture.183714.jpg,,E12602BA0448,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0119666_Cargill US Guntersville AL 1CIE_2d434d15,WMBE0119666,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0119666_Cargill US Guntersville_15158582840614773859.Picture.183735.jpg,,E12602BA15C0,WM51033144101,Atex,Found in BigQuery PR01 & WCDH
WMBE0116345_Cargill US Guntersville AL 1CIE_e8ec66da,WMBE0116345,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0116345_Cargill US Guntersville_3628543581942891595.Picture.183840.jpg,,E12602BAE608,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0116360_Cargill US Guntersville AL 1CIE_42cab346,WMBE0116360,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0116360_Cargill US Guntersville_5349162303348243459.Picture.183937.jpg,,E126023D3408,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115649_Cargill US Guntersville AL 1CIE_001edcc3,WMBE0115649,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115649_Cargill US Guntersville_695161012634338910.Picture.184020.jpg,,E126022A26A9,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115663_Cargill US Guntersville AL 1CIE_01d64172,WMBE0115663,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115663_Cargill US Guntersville_10860789391846204478.Picture.184059.jpg,,E126023CAC6A,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0116340_Cargill US Guntersville AL 1CIE_3de79125,WMBE0116340,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0116340_Cargill US Guntersville_14621767734764196134.Picture.184222.jpg,,E12602141268,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0116396_Cargill US Guntersville AL 1CIE_2c09b59c,WMBE0116396,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0116396_Cargill US Guntersville_13844350772183778862.Picture.184257.jpg,,E12602BACCD1,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
